ORIGIN,DEST,AIR_TIME,ELAPSED_TIME
JAX,SJU,157.0,178.57692307692307
JAX,STL,107.87837837837837,123.41891891891892
JAX,TTN,102.81818181818181,122.54545454545455
JFK,ABQ,254.8235294117647,290.3970588235294
JFK,ACK,40.20754716981132,66.45911949685535
JFK,ANC,437.5,487.0
JFK,ATL,111.0423940149626,141.7356608478803
JFK,AUS,211.32317880794702,242.36953642384105
JFK,BGR,59.54621848739496,90.94117647058823
JFK,BNA,117.00508474576272,150.91694915254237
JFK,BOI,287.4,310.6
JFK,BOS,39.19706042460533,70.85084376701143
JFK,BQN,194.0441176470588,221.24264705882354
JFK,BTV,46.62093862815885,75.84837545126354
JFK,BUF,56.76200417536534,85.04592901878914
JFK,BUR,337.375,366.0882352941176
JFK,BWI,39.76086956521739,71.43961352657004
JFK,BZN,260.7142857142857,285.57142857142856
JFK,CHS,96.75949367088607,128.93354430379748
JFK,CLE,77.23285198555956,112.8086642599278
JFK,CLT,87.35356849876948,119.94749794913864
JFK,CMH,80.28775510204082,112.32448979591837
JFK,CVG,98.19620253164557,131.40822784810126
JFK,DCA,52.71533742331288,85.89938650306749
JFK,DEN,230.75840336134453,265.827731092437
JFK,DFW,198.245960502693,234.74865350089766
JFK,DTW,86.68389955686854,119.03988183161005
JFK,EGE,259.39473684210526,291.6578947368421
JFK,EYW,174.79310344827587,204.31034482758622
JFK,FLL,150.1095406360424,179.33003533568905
JFK,HDN,269.5,321.5
JFK,HNL,626.390243902439,657.3821138211382
JFK,HOU,201.6153846153846,229.1153846153846
JFK,HYA,37.714285714285715,60.4
JFK,IAD,48.6283185840708,79.6165191740413
JFK,IAH,202.4453125,234.5625
JFK,IND,103.96190476190476,137.61904761904762
JFK,ITH,40.11764705882353,69.1470588235294
JFK,JAC,262.53846153846155,297.46153846153845
JFK,JAX,121.15634218289085,152.44690265486724
JFK,LAS,303.53480662983424,335.73370165745854
JFK,LAX,330.71142016581973,365.8111794597486
JFK,LGB,336.94520547945206,363.2191780821918
JFK,MCI,166.0441176470588,199.88235294117646
JFK,MCO,135.09543859649122,166.05473684210526
JFK,MIA,151.58685714285716,183.47257142857143
JFK,MKE,119.83076923076923,150.87692307692308
JFK,MSP,153.0675182481752,183.19890510948906
JFK,MSY,167.5835140997831,197.26030368763557
JFK,MVY,37.450980392156865,61.68627450980392
JFK,OAK,347.05882352941177,379.52941176470586
JFK,ONT,327.2769230769231,358.26153846153846
JFK,ORD,122.67849223946784,161.5
JFK,ORF,54.17086330935252,84.69064748201438
JFK,ORH,31.412121212121214,59.06060606060606
JFK,PBI,145.89032258064515,173.50967741935483
JFK,PDX,332.7843137254902,364.3856209150327
JFK,PHL,30.114285714285714,62.22857142857143
JFK,PHX,295.4189497716895,327.0296803652968
JFK,PIT,66.258,99.492
JFK,PSE,201.3050847457627,233.4406779661017
JFK,PSP,329.0,358.7
JFK,PWM,48.61538461538461,81.04437869822485
JFK,RDU,73.15990639625585,104.65990639625585
JFK,RIC,57.57071960297767,92.29528535980148
JFK,RNO,324.25531914893617,359.5531914893617
JFK,ROC,51.31155015197568,81.12765957446808
JFK,RSW,156.86881188118812,183.84405940594058
JFK,SAN,326.9861495844875,359.17174515235456
JFK,SAT,219.007299270073,246.78832116788323
JFK,SAV,107.78119001919386,137.51631477927063
JFK,SEA,330.8658969804618,367.40408525754884
JFK,SFO,349.54609053497944,383.0818930041152
JFK,SJC,350.50375939849624,386.23308270676694
JFK,SJU,195.56572982774253,223.46056210335448
JFK,SLC,278.10913705583755,309.0913705583756
JFK,SMF,337.4864864864865,373.14864864864865
JFK,SNA,328.97222222222223,364.43055555555554
JFK,SRQ,150.38805970149255,175.66417910447763
JFK,STT,199.98395721925132,228.79144385026737
JFK,SYR,44.748,72.208
JFK,TPA,144.0503875968992,171.54263565891472
JLN,DEC,56.588235294117645,73.52941176470588
JLN,DEN,93.9245283018868,117.37735849056604
JLN,DFW,57.88235294117647,86.0
JLN,IAH,85.5,113.21428571428571
JLN,ORD,76.43877551020408,105.93877551020408
JMS,DEN,87.24113475177305,110.80851063829788
JMS,DVL,21.306878306878307,39.97883597883598
JNU,ANC,85.29116945107398,104.55847255369929
JNU,GST,15.32,36.66
JNU,KTN,40.98039215686274,60.673202614379086
JNU,PSG,26.934782608695652,45.710144927536234
JNU,SEA,117.00158478605388,142.28843106180665
JNU,SIT,24.06451612903226,42.8494623655914
JNU,YAK,38.027027027027025,58.62162162162162
JST,CKB,24.352941176470587,41.88235294117647
JST,IAD,27.772151898734176,50.392405063291136
JST,ORD,83.42105263157895,114.42105263157895
KOA,ANC,346.2692307692308,366.53846153846155
KOA,DEN,375.5403225806452,396.14516129032256
KOA,DFW,399.4,422.58181818181816
KOA,HNL,30.189357290946788,47.163096060815484
KOA,LAS,312.23636363636365,330.54545454545456
KOA,LAX,290.1590257879656,313.63753581661894
KOA,LIH,40.111111111111114,54.794871794871796
KOA,OAK,281.11042944785277,298.5828220858896
KOA,OGG,19.517560073937155,36.66543438077634
KOA,ORD,446.64285714285717,467.7857142857143
KOA,PDX,308.89285714285717,330.6309523809524
KOA,PHX,321.15294117647056,340.51176470588234
KOA,SAN,298.719298245614,320.0877192982456
KOA,SEA,321.07466063348414,346.5429864253394
KOA,SFO,277.91358024691357,296.5283950617284
KOA,SJC,280.62874251497004,299.562874251497
KOA,SMF,290.35714285714283,311.64285714285717
KTN,JNU,42.16,58.992
KTN,SEA,92.14671814671814,115.26061776061776
KTN,SIT,37.27,56.47
KTN,WRG,24.37579617834395,44.36942675159236
LAN,DCA,74.00990099009901,94.17821782178218
LAN,DTW,21.730526315789472,46.17894736842105
LAN,MSP,80.62068965517241,105.75862068965517
LAN,ORD,39.293103448275865,67.68620689655172
LAR,BFF,30.0,55.666666666666664
LAR,DEN,28.279661016949152,54.41525423728814
